coffee_name,total_score,roaster_location,coffee_origin,roast_level,agtron,est._price,country,prices_raw,ounces_raw,price,ounces,price_per_ounces,agtron_whole,agtron_ground,Price Vs Score
Ethiopia Moonlight Delight Wine Process Natural,94,"Tainan City, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,66/88,NT $750/227 grams,southern Ethiopia,NT $750,227 grams,750,8.007195894,93.6657489,66,88,
Colombia Tabi La Roca,94,"Chicago, Illinois","Armenia, Quindio Department, Colombia",Light,57/87,$51.00/12 ounces,Colombia,$51.00 ,12 ounces,51,12,4.25,57,87,
Nyeri Hill Kenya,94,"Madison, Wisconsin","Nyeri growing region, south-central Kenya",Medium-Light,58/76,$23.00/12 ounces,south-central Kenya,$23.00 ,12 ounces,23,12,1.916666667,58,76,
Peru Black Honey Los Santos Farm Gesha,94,"Chia-Yi, Taiwan","Lonya Grande, Utcubamba Province, Peru",Light,64/88,NT $410/8 ounces,Peru,NT $410,8 ounces,410,8,51.25,64,88,
Ethiopia Guji Bule Hambela TOH#1,94,"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,57/76,NT $599/8 ounces,southern Ethiopia,NT $599,8 ounces,599,8,74.875,57,76,
Ethiopia Yirgacheffe Kochere Halo Hartume Washed G1,94,"Taipei, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,64/86,NT $560/220 grams,south-central Ethiopia,NT $560,220 grams,560,7.760277959,72.16236364,64,86,
Ethiopia Mulish,94,"Sacramento, California","Guji Zone, Oromia region, Ethiopia",Medium-Light,58/78,$25.50/12 ounces,Ethiopia,$25.50 ,12 ounces,25.5,12,2.125,58,78,
Colombia Wilton Benitez Yellow Bourbon,94,"Jersey City, New Jersey","Piendamó, Cauca Department, Colombia",Light,65/90,$31.00/250 grams,Colombia,$31.00 ,250 grams,31,8.818497681,3.515338,65,90,
Colombia Wilton Benitez Red Bourbon,94,"Jersey City, New Jersey","Piendamó, Cauca Department, Colombia",Light,66/88,$31.00/250 grams,Colombia,$31.00 ,250 grams,31,8.818497681,3.515338,66,88,
Ethiopia Guji Narcissus Washed G1,94,"Tainan, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Light,63/82,NT $580/227 grams,southern Ethiopia,NT $580,227 grams,580,8.007195894,72.43484581,63,82,
Kona Maragogype,94,"Pahala, Hawaii","Pahala, Hawaii",Medium-Light,56/76,$37.00/7 ounces,Hawaii,$37.00 ,7 ounces,37,7,5.285714286,56,76,
Ethiopia Bench-Maji Lucy Geisha,94,"Taitung, Taiwan","Bench-Maji Zone, Southern Ethiopia",Light,66/84,NT $380/200 grams,Southern Ethiopia,NT $380,200 grams,380,7.054798145,53.86405,66,84,
Ethiopia Guji Rosechee Washed G1,94,"Tainan, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Light,66/88,NT $600/227 grams,southern Ethiopia,NT $600,227 grams,600,8.007195894,74.93259912,66,88,
Ethiopia Sidama Bensa,94,"Taitung, Taiwan","Sidamo growing region, southern Ethiopia",Light,65/87,NT $350/200 grams,southern Ethiopia,NT $350,200 grams,350,7.054798145,49.611625,65,87,
Colombia El Vergel #1,94,"Plymouth, Massachusetts","Huila Department, Colombia",Light,64/86,$15.00/12 ounces,Colombia,$15.00 ,12 ounces,15,12,1.25,64,86,
